Publishing Year,language_code,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,units sold,publisher_code,author_rating
1989.0,0.0,4.1,105892,1,1874.87,1124.922,5.99,312,313,7,0
2010.0,0.0,3.91,103915,0,307.89,184.734,0.99,313,311,0,2
2011.0,0.0,3.7,94968,0,306.9,0.0,0.99,314,310,0,2
1982.0,0.0,3.82,116026,0,616.9,370.14,1.99,314,310,0,2
-430.0,0.0,3.67,119496,0,2460.92,1476.552,7.99,315,308,1,2
2009.0,0.0,3.87,106729,1,2152.92,1291.752,6.99,315,308,6,2
1908.0,0.0,3.98,124612,0,10327.3,6196.38,33.86,317,305,6,2
2014.0,0.0,4.11,136938,1,598.99,0.0,1.99,319,301,0,0
2000.0,0.0,4.23,117103,0,1487.02,892.212,4.99,321,298,7,0
1908.0,0.0,3.91,109994,0,891.02,0.0,2.99,321,298,0,2
2010.0,0.0,3.86,136736,0,1181.04,0.0,3.99,322,296,0,2
2008.0,0.0,4.01,120475,1,885.04,531.024,2.99,322,296,0,0
1995.0,0.0,4.13,78028,0,1772.95,1063.77,6.01,323,295,3,0
1994.0,0.0,3.76,102715,0,292.05,0.0,0.99,323,295,0,2
2008.0,0.0,4.03,138118,0,290.07,0.0,0.99,324,293,0,0
1999.0,0.0,4.35,104633,1,288.09,172.854,0.99,325,291,2,0
2012.0,0.0,3.89,94012,0,3694.6,2216.76,12.74,326,290,1,2
2012.0,0.0,3.99,121863,0,1149.12,689.472,3.99,327,288,0,2
1991.0,0.0,3.77,104467,0,1707.15,1024.29,5.99,329,285,8,2
1596.0,0.0,3.78,115621,0,427.5,0.0,1.5,329,285,0,2
1975.0,0.0,4.37,104339,0,2071.56,1242.936,7.32,330,283,1,0
2006.0,0.0,4.45,134249,0,1412.17,847.302,4.99,330,283,8,1
2015.0,0.0,4.29,167848,1,3650.19,2190.114,12.99,331,281,0,0
2012.0,5.0,4.13,76876,0,1387.22,0.0,4.99,333,278,0,0
1989.0,0.0,4.21,105192,0,1097.25,658.35,3.99,335,275,8,0
2009.0,0.0,4.19,98628,0,2618.07,1570.842,9.59,336,273,3,0
1950.0,0.0,4.26,116197,0,267.3,0.0,0.99,338,270,0,0
1996.0,0.0,3.84,102733,0,267.3,0.0,0.99,338,270,0,2
2001.0,0.0,3.98,99926,1,263.34,0.0,0.99,340,266,0,2
1999.0,0.0,3.74,112733,0,997.5,0.0,3.75,340,266,0,2
2012.0,0.0,3.75,110552,0,1719.85,1031.91,6.49,341,265,1,2
1979.0,0.0,3.79,109063,2,1877.82,1126.692,7.14,342,263,0,2
2016.0,0.0,4.32,116771,0,1041.39,0.0,3.99,343,261,0,0
1990.0,0.0,3.86,99831,0,777.4,0.0,2.99,344,260,0,2
1999.0,0.0,4.0,54937,0,771.42,462.852,2.99,345,258,8,2
1601.0,0.0,3.97,119607,0,1527.45,916.47,5.99,347,255,6,2
2000.0,0.0,3.8,114917,0,997.5,0.0,3.99,350,250,0,2
1978.0,0.0,4.03,117108,0,997.5,598.5,3.99,350,250,0,0
2014.0,0.0,4.26,104939,0,246.51,147.906,0.99,351,249,0,0
2008.0,0.0,4.15,109236,0,744.51,446.706,2.99,351,249,7,0
1988.0,0.0,3.94,105032,2,1635.93,981.558,6.57,352,249,0,2
2013.0,0.0,4.23,134022,0,3221.52,0.0,12.99,353,248,0,0
2014.0,0.0,4.77,73572,0,741.52,444.912,2.99,354,248,3,1
1988.0,0.0,4.36,104690,0,738.53,0.0,2.99,355,247,0,0
2001.0,0.0,4.26,103552,0,1141.14,684.684,4.62,356,247,6,0
1978.0,0.0,3.96,104248,0,244.53,146.718,0.99,356,247,0,2
1974.0,0.0,3.96,102574,0,1227.54,736.524,4.99,357,246,8,2
2005.0,0.0,3.91,98379,0,977.55,0.0,3.99,359,245,0,2
1945.0,0.0,4.11,123065,0,977.55,586.53,3.99,360,245,0,0
2006.0,0.0,3.73,101669,0,1698.57,1019.142,6.99,363,243,1,2
2005.0,0.0,4.3,102923,0,726.57,435.942,2.99,364,243,0,0
2010.0,0.0,3.88,127379,0,1494.45,896.67,6.15,364,243,0,2
1947.0,0.0,3.97,95803,0,965.58,0.0,3.99,366,242,0,2
